4730,Lookman,Lookman Ademola,A,A,24,26,24,26,Atalanta,155,165,destro,Inghilterra;Nigeria,20/10/1997 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/LOOKMAN.png?v=35,0,5.5,5.25
507,Muriel,Muriel Luis,A,Pc,13,14,12,13,Atalanta,38,29,destro,Colombia,16/04/1991 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/MURIEL.png?v=35,0,6.0,6.0
6229,Toure' E.,Tourè El Bilal,A,Pc,15,16,14,15,Atalanta,45,45,ambidestro,Mali;Costa D''Avorio,03/10/2001 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=35,0,0.0,0.0
608,Zapata D.,Zapata Duvan,A,Pc,19,19,19,19,Torino,180,170,destro,Colombia,01/04/1991 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/ZAPATA-D.png?v=35,0,6.0,7.0
5822,Bagnolini,Bagnolini Nicola,P,Por,1,1,1,1,Bologna,1,1,destro,Italia,14/03/2004 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=35,0,0.0,0.0
2722,Ravaglia F.,Ravaglia Federico,P,Por,1,1,1,1,Bologna,1,1,destro,Italia,11/11/1999 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=35,0,0.0,0.0
133,Skorupski,Skorupski Lukasz,P,Por,10,10,10,10,Bologna,32,32,destro,Polonia,05/05/1991 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/SKORUPSKI.png?v=35,0,6.17,4.83
6202,Beukema,Beukema Sam,D,Dc,6,6,6,6,Bologna,22,22,destro,Olanda,17/11/1998 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/BEUKEMA.png?v=35,0,5.67,5.67
2192,Bonifazi,Bonifazi Kevin,D,Dc,2,3,2,3,Bologna,3,3,destro,Italia,19/05/1996 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/BONIFAZI.png?v=35,0,0.0,0.0
6042,Lucumi',Lucumì Jhon,D,Dc,7,7,7,7,Bologna,16,16,sinistro,Colombia,26/06/1998 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/LUCUMI.png?v=35,0,5.83,5.83
6043,Sosa,Sosa Joaquin,D,Dc,1,2,1,2,Bologna,2,2,sinistro,Uruguay;Italia,10/01/2002 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=35,1,0.0,0.0
4891,Soumaoro,Soumaoro Adama,D,Dc,3,4,3,4,Bologna,5,5,destro,Francia;Mali,18/06/1992 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/SOUMAORO.png?v=35,0,0.0,0.0
5424,Amey,Amey Wisdom,D,Dd;Dc,1,1,1,1,Bologna,1,2,destro,Italia;Togo,11/05/2005 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=35,0,0.0,0.0
6066,Posch,Posch Stefan,D,Dd;Dc,15,16,17,18,Bologna,46,50,destro,Austria,14/05/1997 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/POSCH.png?v=35,0,5.83,5.67
487,De Silvestri,De Silvestri Lorenzo,D,Dd;E,1,2,1,2,Bologna,3,3,destro,Italia,23/05/1988 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/DE-SILVESTRI.png?v=35,0,0.0,0.0
2653,Lykogiannis,Lykogiannis Charalampos,D,Ds;E,5,5,5,5,Bologna,8,8,sinistro,Grecia,22/10/1993 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/LYKOGIANNIS.png?v=35,0,5.5,5.5
4869,Dominguez,Dominguez Nicolas,C,M;C,12,12,14,14,Bologna,26,30,destro,Argentina,28/06/1998 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/DOMINGUEZ.png?v=35,1,5.75,5.75
6225,El Azzouzi,El Azzouzi Oussama ,C,M;C,1,1,1,1,Bologna,2,2,destro,Marocco;Olanda,29/05/2001 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=35,0,6.0,6.0
6054,Moro N.,Moro Nikola,C,M;C,7,6,7,6,Bologna,12,14,destro,Croazia,12/03/1998 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=35,0,6.0,6.0
4393,Schouten,Schouten Jerdy,C,M;C,8,8,9,9,Bologna,11,14,destro,Olanda,12/01/1997 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/SCHOUTEN.png?v=35,1,0.0,0.0
5858,Ferguson,Ferguson Lewis,C,C;T,18,17,19,18,Bologna,71,74,destro,Scozia,24/08/1999 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/FERGUSON.png?v=35,0,6.33,7.17
5772,Pyyhtia,Pyyhtia Niklas,C,C;T,1,1,1,1,Bologna,1,1,sinistro,Finlandia,25/09/2003 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=35,1,0.0,0.0
5425,Urbanski,Urbanski Kacper,C,C;T,2,1,2,1,Bologna,2,2,destro,Polonia,07/09/2004 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=35,0,6.0,6.0
5784,Aebischer,Aebischer Michel,C,C;W;T,6,5,6,5,Bologna,9,12,destro,Svizzera,06/01/1997 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/AEBISCHER.png?v=35,0,6.0,5.83
2167,Orsolini,Orsolini Riccardo,C,W,19,21,18,20,Bologna,91,91,sinistro,Italia,24/01/1997 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/ORSOLINI.png?v=35,0,5.67,4.67
2154,Vignato,Vignato Emanuel,C,W;T,2,2,2,2,Bologna,3,3,destro,Italia;Brasile,24/08/2000 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/VIGNATO.png?v=35,1,0.0,0.0
